Entry Time,Exit Time,Symbol,Type,Strategy,Entry Price,Exit Price,Reason,Net PnL (USDT),Balance After
2026-04-27 08:00:00+00:00,2026-04-27 15:00:00+00:00,BTC/USDT:USDT,Long,Trend_Pullback_Long,77811.5625,76960.8097,Stop Loss,-60.67,9939.33
2026-04-29 06:00:00+00:00,2026-04-29 09:00:00+00:00,BTC/USDT:USDT,Short,Trend_Pullback_Short,77001.6094,77682.1557,Stop Loss,-49.89,9889.45
2026-05-08 08:00:00+00:00,2026-05-09 18:00:00+00:00,BTC/USDT:USDT,Long,Trend_Pullback_Long,79928.7109,80981.4971,Take Profit,59.2,9948.64
2026-05-12 12:00:00+00:00,2026-05-12 15:00:00+00:00,BTC/USDT:USDT,Long,Trend_Pullback_Long,80862.5391,80191.594,Stop Loss,-47.24,9901.4
2026-05-12 17:00:00+00:00,2026-05-13 13:00:00+00:00,BTC/USDT:USDT,Long,Trend_Pullback_Long,80493.8125,79684.551,Stop Loss,-55.71,9845.69
2026-05-15 13:00:00+00:00,2026-05-16 10:00:00+00:00,BTC/USDT:USDT,Long,Keltner_Range_Long,78701.9297,77684.1556,Stop Loss,-69.57,9776.12
2026-05-23 22:00:00+00:00,2026-05-24 10:00:00+00:00,BTC/USDT:USDT,Short,Trend_Pullback_Short,76479.9922,77326.7397,Stop Loss,-59.98,9716.13
2026-05-24 13:00:00+00:00,2026-05-25 02:00:00+00:00,BTC/USDT:USDT,Short,Trend_Pullback_Short,76703.9609,77348.4071,Stop Loss,-46.65,9669.49
2026-05-27 13:00:00+00:00,2026-05-27 22:00:00+00:00,BTC/USDT:USDT,Long,Keltner_Range_Long,74915.7422,74157.7467,Stop Loss,-54.72,9614.77
